Row (x), Pitch (Y), Yaw (Z), Time (s)
6.04,18.63,-0.65,22.82
3.96,0.01,-3.08,22.92
7.13,6.66,-3.08,23.02
6.31,11.46,-4.73,23.13
5.39,2.15,-2.51,23.23
5.23,10.68,0.13,23.33
1.50,2.29,1.47,23.44
9.55,-0.02,7.77,23.54
6.62,6.50,3.20,23.65
5.34,2.62,1.18,23.91
3.37,6.54,5.01,24.02
4.29,13.17,3.12,24.12
4.44,-0.65,1.93,24.22
4.77,14.49,2.08,24.33
4.05,-2.92,3.37,24.43
6.23,6.07,2.31,24.54
5.27,7.19,0.62,24.64
5.77,-1.01,2.04,24.74
5.48,11.38,3.47,24.85
6.28,17.31,3.03,25.11
5.63,3.04,0.45,25.21
12.06,15.11,2.43,25.32
8.93,2.42,0.20,25.42
5.92,6.67,2.75,25.52
5.49,13.70,-0.41,25.63
5.68,-3.25,-0.12,25.73
5.96,12.21,0.63,25.84
6.78,-6.24,2.30,25.94
7.52,5.20,2.16,26.04
2.66,19.11,11.79,26.31
2.29,8.86,8.39,26.41
3.79,1.55,12.02,26.51
6.29,11.73,10.05,26.62
6.64,-2.81,7.83,26.72
7.81,15.56,7.21,26.83
11.47,1.79,3.86,26.93
8.72,10.00,3.09,27.03
7.03,11.29,0.07,27.14
5.80,2.81,0.53,27.24
7.70,-5.45,0.55,27.51
5.66,12.28,1.29,27.61
6.85,-2.80,-0.62,27.72
7.06,15.04,1.65,27.82
3.59,2.68,-0.40,27.92
2.30,7.55,3.18,28.03
4.41,13.20,1.81,28.13
5.02,-1.65,2.19,28.23
4.09,13.12,2.25,28.34
3.58,-4.36,4.04,28.44
7.43,0.23,1.76,28.71
6.94,12.78,8.06,28.81
6.32,2.07,4.88,28.92
5.32,-1.41,8.46,29.02
6.38,11.20,7.32,29.12
4.58,0.52,4.93,29.23
5.64,18.28,5.11,29.33
7.44,-0.10,2.19,29.43
5.75,9.76,0.63,29.54
5.89,12.40,-2.00,29.64
5.80,16.51,-8.86,29.90
5.15,6.48,-6.53,30.01
4.08,14.45,-3.40,30.11
5.77,2.80,-6.77,30.22
5.63,20.17,-2.36,30.32
4.00,15.02,-4.60,30.42
4.72,7.58,0.33,30.53
5.53,12.42,-0.04,30.63
7.76,-7.09,-1.07,30.74
6.29,14.32,-1.02,30.84
4.82,15.29,1.65,31.11
6.09,2.80,0.85,31.21
17.98,0.68,0.89,31.32
8.55,1.69,-1.93,31.42
6.08,-1.32,2.64,31.52
4.85,8.69,-0.69,31.63
