Roll (x), Pitch (Y), Yaw (Z), Time (s)
8.93,-0.33,134.91,8.32
10.73,16.44,74.66,8.43
9.15,-2.00,131.23,8.55
9.87,16.44,135.26,8.66
9.19,-2.81,50.66,8.77
10.57,13.80,76.38,8.89
8.76,3.43,76.66,9.00
9.98,11.22,121.69,9.11
9.67,1.67,60.97,9.23
8.87,1.67,150.71,9.34
10.87,12.63,30.78,9.46
9.09,1.59,116.29,9.57
10.47,15.68,43.58,9.68
9.54,-3.31,79.42,9.80
9.88,16.23,81.43,9.91
9.46,-4.24,36.74,10.03
10.52,12.60,72.15,10.14
8.90,3.16,58.26,10.25
10.59,13.32,140.04,10.37
9.73,1.99,104.84,10.48
8.82,3.00,143.20,10.60
10.34,10.38,34.60,10.71
8.73,3.81,149.30,10.82
10.67,16.25,86.65,10.94
8.98,-2.01,141.06,11.05
9.87,16.38,132.26,11.17
9.41,-3.80,85.16,11.28
10.18,13.62,97.08,11.39
8.72,2.45,33.84,11.51
9.82,11.20,109.72,11.62
9.33,1.91,63.47,11.74
9.01,1.75,135.07,11.85
10.14,8.70,28.55,11.96
8.90,1.79,112.27,12.08
10.58,14.13,43.52,12.19
9.25,-3.04,112.87,12.31
9.62,16.34,95.27,12.42
9.43,-4.60,52.80,12.53
10.68,12.82,80.54,12.65
9.10,1.15,51.86,12.76
10.86,14.55,101.47,12.88
8.78,2.19,81.09,12.99
8.67,2.55,158.20,13.10
10.28,10.43,46.76,13.22
8.74,3.42,149.25,13.33
10.74,16.18,52.89,13.44
9.03,-2.33,116.20,13.56
9.78,16.68,90.26,13.67
9.03,-2.91,73.11,13.79
10.10,13.75,96.05,13.90
8.80,2.29,46.14,14.02
10.69,14.66,99.31,14.13
9.16,1.51,89.89,14.24
9.04,5.56,151.72,14.36
9.98,8.40,63.16,14.47
9.41,2.36,124.10,14.59
10.49,14.57,35.00,14.70
9.21,-3.19,108.80,14.81
9.81,15.06,98.14,14.93
9.24,-3.78,119.85,15.04
9.68,14.54,132.54,15.15
9.07,0.84,54.72,15.27
10.80,13.20,81.32,15.38
8.55,3.34,70.75,15.50
8.45,2.87,170.57,15.61
10.12,6.28,57.19,15.73
9.00,2.31,108.57,15.84
10.59,14.88,37.66,15.95
8.94,-2.26,121.07,16.07
10.19,15.42,82.31,16.18
9.15,-3.30,62.47,16.30
9.84,14.96,95.90,16.41
9.35,-0.83,40.99,16.52
11.02,13.41,73.79,16.64
8.72,3.45,77.86,16.75
8.73,7.24,155.39,16.86
9.85,8.51,53.43,16.98
9.34,2.02,116.01,17.09
10.38,15.19,31.38,17.21
8.92,-1.79,102.18,17.32
9.65,15.41,59.69,17.43
8.73,-1.72,93.45,17.55
9.65,14.48,112.18,17.66
9.13,0.29,54.26,17.78
10.43,13.22,83.98,17.89
8.53,2.27,78.05,18.00
8.96,8.44,156.95,18.12
10.20,6.41,78.60,18.23
8.43,1.05,128.73,18.35
10.81,13.21,32.86,18.46
8.93,-1.14,105.37,18.57
10.03,16.25,69.91,18.69
9.02,-3.43,85.45,18.80
9.61,15.42,99.74,18.92
9.28,-0.38,42.19,19.03
10.65,13.74,63.60,19.14
8.59,3.00,71.43,19.26
8.86,8.66,163.80,19.37
9.82,4.70,58.68,19.49
9.33,1.53,112.82,19.60
10.20,11.23,21.72,19.71
8.85,-2.00,115.07,19.83
9.71,15.17,73.02,19.94
8.66,-1.34,109.40,20.06
9.56,14.73,124.61,20.17
9.04,-2.01,60.56,20.28
10.72,13.51,76.76,20.40
8.27,3.24,67.65,20.51
9.08,10.74,131.55,20.62
9.87,6.24,55.06,20.74
8.76,0.86,108.12,20.85
10.64,13.83,19.24,20.97
8.65,0.63,103.97,21.08
9.93,16.12,57.90,21.19
9.03,-2.83,87.84,21.31
9.46,15.99,85.81,21.42
9.51,-1.57,28.09,21.54
10.54,12.07,53.89,21.65
8.55,3.23,66.63,21.76
9.89,12.34,141.49,21.88
9.77,4.85,82.80,21.99
8.78,1.64,130.31,22.11
10.15,11.55,36.61,22.22
8.77,-1.35,122.95,22.33
10.09,15.68,76.39,22.45
8.63,-1.53,118.57,22.56
9.58,16.20,127.21,22.68
9.04,-2.86,76.00,22.79
10.10,13.66,95.77,22.91
8.26,3.45,87.91,23.02
9.07,10.64,143.28,23.13
9.65,3.05,66.59,23.25
8.85,1.27,121.88,23.36
9.86,9.33,37.11,23.48
8.46,0.57,112.34,23.59
10.15,15.07,53.65,23.70
8.93,-3.46,75.61,23.82
9.56,15.69,80.90,23.93
9.29,-4.72,26.89,24.05
10.60,14.05,56.54,24.16
8.70,2.74,56.86,24.27
9.75,13.23,103.00,24.39
9.78,4.29,68.20,24.50
8.77,1.90,114.83,24.61
10.17,11.62,18.97,24.73
8.21,1.89,117.54,24.84
9.84,16.00,53.18,24.96
8.67,-1.49,117.04,25.07
9.30,16.31,98.61,25.18
8.73,-2.09,47.34,25.30
10.04,13.74,73.41,25.41
8.41,2.56,70.63,25.53
9.63,13.56,152.45,25.64
9.16,1.85,120.25,25.75
8.51,3.64,156.40,25.87
9.50,9.66,52.69,25.98
8.36,0.68,118.03,26.10
10.06,15.32,56.91,26.21
8.82,-3.23,109.99,26.33
9.36,15.06,100.21,26.44
9.19,-4.43,83.11,26.55
9.69,13.39,89.13,26.67
8.89,2.08,42.86,26.78
9.64,12.71,97.35,26.90
9.08,1.88,54.38,27.01
8.86,1.56,134.44,27.12
9.73,8.61,32.28,27.24
8.28,1.75,104.25,27.35
10.57,14.99,37.83,27.47
8.81,-2.38,110.47,27.58
9.39,16.18,95.97,27.69
8.61,-2.86,66.75,27.81
9.93,14.41,89.82,27.92
8.87,1.29,55.64,28.03
10.01,13.91,93.59,28.15
8.57,2.81,82.34,28.26
8.41,3.65,169.22,28.38
9.68,10.00,65.31,28.49
8.75,2.89,125.15,28.60
10.14,15.59,43.18,28.72
8.77,-1.79,105.35,28.83
9.33,15.53,79.42,28.95
8.75,-3.33,65.12,29.06
9.71,13.37,97.93,29.17
8.92,2.11,62.37,29.29
10.01,14.60,113.88,29.40
8.72,1.58,104.97,29.52
8.31,4.69,162.96,29.63
9.87,8.25,67.06,29.75
8.37,2.45,125.77,29.86
10.61,15.94,31.97,29.97
8.57,-2.13,108.95,30.09
9.63,16.12,103.82,30.20
9.41,-5.45,126.38,30.32
9.53,14.99,118.70,30.43
8.66,0.37,47.93,30.54
8.66,11.49,100.84,30.66
8.73,2.06,80.73,30.77
10.56,10.31,130.93,30.89
9.68,6.36,24.12,31.00
8.39,-0.06,99.95,31.11
9.63,10.23,40.48,31.23
9.02,-2.99,89.49,31.34
9.85,18.38,5.44,31.45
8.05,-2.30,85.12,31.57
9.49,13.87,117.39,31.68
8.87,-0.58,76.98,31.80
12.35,13.70,75.33,31.91
9.59,3.02,52.04,32.03
8.62,9.74,119.29,32.14
8.20,5.21,87.97,32.25
7.17,3.43,145.61,32.37
10.78,16.84,24.59,32.48
8.54,2.90,91.57,32.59
9.00,12.84,42.97,32.71
8.32,-1.83,110.34,32.82
9.55,15.20,95.68,32.94
8.40,2.53,8.40,33.05
9.53,12.92,43.96,33.16
8.93,-1.69,66.91,33.28
8.48,16.81,194.06,33.39
8.63,1.83,143.71,33.51
9.22,2.92,155.29,33.62
9.75,7.11,48.97,33.73
8.73,1.42,84.11,33.85
9.59,16.59,66.24,33.96
8.35,-1.03,152.40,34.08
9.67,15.80,105.13,34.19
8.53,-4.93,101.57,34.30
9.35,15.76,110.94,34.42
7.22,2.92,123.25,34.53
10.48,14.43,130.71,34.65
8.47,2.71,112.50,34.76
8.48,6.10,186.63,34.87
9.58,4.42,63.25,34.99
8.92,2.48,98.19,35.10
9.87,14.86,-9.36,35.22
8.44,-0.47,84.27,35.33
9.32,15.06,56.07,35.44
8.40,-1.16,100.39,35.56
9.31,14.55,121.02,35.67
8.94,-3.28,36.35,35.79
10.36,14.77,83.25,35.90
8.13,2.97,76.04,36.01
8.97,9.30,165.21,36.13
9.88,5.73,81.59,36.24
8.31,1.41,136.30,36.36
10.47,15.34,34.26,36.47
8.47,0.30,100.33,36.58
9.75,15.57,51.59,36.70
8.80,-3.78,95.75,36.81
9.35,16.08,110.93,36.93
9.29,-2.01,46.35,37.04
10.16,12.37,73.52,37.15
8.20,4.02,60.23,37.27
9.66,11.98,152.09,37.38
9.69,4.39,91.38,37.50
9.13,1.83,125.16,37.61
9.82,11.86,35.53,37.72
8.58,-2.32,134.13,37.84
9.66,15.32,85.26,37.95
8.44,-1.61,135.68,38.07
9.36,16.10,137.95,38.18
8.88,-3.53,73.25,38.29
10.34,14.51,99.05,38.41
7.79,3.74,90.16,38.52
8.67,8.67,148.24,38.64
9.32,2.29,67.78,38.75
8.92,1.58,115.27,38.86
9.70,10.17,23.99,38.98
8.40,0.39,104.90,39.09
9.80,15.83,48.74,39.21
8.84,-2.37,87.39,39.32
9.30,16.19,83.29,39.43
9.20,-4.57,30.11,39.55
10.16,13.00,65.73,39.66
8.37,3.86,60.20,39.78
9.76,12.69,146.16,39.89
9.60,4.00,90.65,40.00
8.42,1.68,125.64,40.12
9.89,11.96,23.05,40.23
8.17,2.06,122.50,40.35
9.79,15.98,58.09,40.46
8.35,-1.24,116.92,40.57
9.41,16.16,121.37,40.69
8.96,-3.75,67.89,40.80
9.71,14.00,96.52,40.92
7.81,3.73,46.47,41.03
10.16,14.05,124.49,41.14
9.31,2.01,106.40,41.26
8.55,1.42,143.41,41.37
9.64,10.23,39.73,41.49
8.36,0.43,117.61,41.60
9.94,14.75,58.39,41.71
8.64,-2.28,120.74,41.83
9.38,16.06,100.25,41.94
9.27,-4.93,33.82,42.06
10.08,12.89,74.76,42.17
8.43,3.07,62.01,42.28
9.87,12.36,119.18,42.40
9.01,1.67,63.60,42.51
8.45,1.39,134.02,42.62
9.72,11.83,28.77,42.74
8.14,2.30,131.31,42.85
9.59,16.29,59.80,42.97
8.51,-1.65,116.10,43.08
9.36,15.99,96.22,43.19
8.58,-3.64,59.48,43.31
9.86,14.44,82.13,43.42
7.95,3.42,43.72,43.54
10.02,13.74,123.16,43.65
9.23,2.28,102.46,43.76
8.43,2.96,145.03,43.88
9.51,9.86,45.26,43.99
9.02,2.71,111.60,44.11
9.99,15.48,42.34,44.22
8.64,-2.77,110.55,44.33
9.27,15.44,98.53,44.45
9.28,-5.20,97.80,44.56
9.34,13.56,112.33,44.68
8.39,2.64,53.85,44.79
10.28,15.15,120.25,44.90
8.89,2.28,99.85,45.02
8.37,1.43,159.44,45.13
9.59,8.17,45.52,45.25
8.14,1.61,114.86,45.36
10.43,15.38,48.29,45.47
8.58,-2.08,112.19,45.59
9.46,16.46,93.82,45.70
8.56,-3.68,58.01,45.82
9.67,14.37,86.99,45.93
8.55,1.55,56.49,46.04
9.98,13.74,93.66,46.16
8.35,3.39,88.14,46.27
8.24,3.48,146.72,46.39
9.34,6.27,48.71,46.50
8.67,2.67,117.13,46.61
9.98,15.50,45.13,46.73
8.76,-2.89,94.58,46.84
9.24,15.26,76.71,46.96
8.53,-2.36,89.02,47.07
9.34,13.94,108.29,47.18
8.57,-1.21,55.54,47.30
10.35,15.14,112.34,47.41
8.67,2.02,101.82,47.53
8.27,5.96,161.24,47.64
9.57,8.41,53.55,47.75
8.24,2.30,118.30,47.87
10.51,15.96,28.67,47.98
8.61,-2.01,98.52,48.10
9.60,15.97,82.36,48.21
8.54,-3.46,95.91,48.32
9.35,15.21,106.18,48.44
8.55,0.79,43.57,48.55
10.35,13.81,93.85,48.67
8.28,3.66,97.51,48.78
8.19,3.44,154.18,48.89
9.24,6.54,43.64,49.01
8.69,3.11,90.39,49.12
9.84,13.49,24.58,49.24
8.43,-2.12,117.92,49.35
9.53,15.31,84.10,49.46
8.37,-2.25,135.02,49.58
9.26,13.74,136.16,49.69
8.61,-1.23,65.76,49.81
10.52,15.59,90.25,49.92
7.92,3.49,88.33,50.03
8.12,5.94,157.04,50.15
9.42,4.40,49.83,50.26
8.37,2.16,93.61,50.38
10.45,16.20,23.55,50.49
8.37,-0.62,97.87,50.60
9.65,16.48,53.39,50.72
8.62,-3.35,67.88,50.83
9.32,15.15,89.06,50.95
8.63,0.78,23.01,51.06
10.34,13.98,75.23,51.17
8.41,3.33,85.38,51.29
8.88,8.86,151.35,51.40
9.33,6.11,93.02,51.52
8.90,1.32,128.06,51.63
9.87,12.81,29.01,51.74
8.73,-2.81,107.49,51.86
9.43,15.32,77.80,51.97
8.25,-1.20,130.83,52.09
9.42,15.32,129.73,52.20
9.01,-2.66,75.38,52.31
9.74,13.55,105.74,52.43
8.13,2.31,95.18,52.54
8.12,5.82,165.87,52.66
9.14,5.02,54.62,52.77
8.47,2.85,94.83,52.88
9.96,11.86,17.57,53.00
8.30,-1.29,100.75,53.11
9.87,15.44,65.88,53.22
8.72,-2.98,106.09,53.34
9.32,15.13,105.84,53.45
9.30,-4.61,31.26,53.57
10.45,14.25,77.64,53.68
8.42,3.94,85.76,53.79
8.60,8.51,142.54,53.91
9.34,1.78,62.78,54.02
9.04,2.39,103.75,54.14
9.93,13.61,21.30,54.25
8.46,-0.18,116.71,54.37
9.47,15.52,68.51,54.48
8.52,-1.41,113.42,54.59
9.19,15.57,123.04,54.71
8.77,-2.23,79.84,54.82
9.61,15.09,124.50,54.94
8.24,3.33,97.85,55.05
9.48,9.81,139.31,55.16
9.43,3.66,94.46,55.28
8.37,4.02,113.85,55.39
10.00,12.13,31.81,55.51
8.19,-1.18,119.05,55.62
9.76,15.12,73.75,55.73
8.56,-2.51,116.98,55.85
9.51,15.35,101.28,55.96
9.19,-4.29,76.44,56.08
10.80,14.11,107.60,56.19
8.19,4.09,109.83,56.30
8.77,7.70,154.98,56.42
9.16,2.10,68.26,56.53
9.05,2.50,110.32,56.64
9.65,9.55,20.65,56.76
8.39,-0.25,123.59,56.87
9.51,15.53,70.52,56.99
8.55,-1.68,111.08,57.10
