Roll (x), Pitch (Y), Yaw (Z), Time (s)
10.34,-2.11,26.34,0.00
12.70,11.50,94.03,0.11
11.37,3.11,70.56,0.23
12.28,8.61,131.85,0.34
10.87,2.63,82.95,0.46
9.97,2.15,161.85,0.57
13.18,13.89,-1.26,0.68
10.99,-1.69,69.92,0.80
11.93,15.04,44.47,0.91
11.13,-2.24,72.92,1.03
11.97,14.01,123.81,1.14
11.39,-0.54,52.86,1.25
12.27,11.88,120.40,1.37
11.38,3.47,75.59,1.48
12.99,9.12,120.26,1.60
10.58,3.54,94.25,1.71
9.51,3.68,182.74,1.82
13.73,8.75,21.54,1.94
10.90,-1.83,87.79,2.05
12.37,15.64,61.75,2.17
11.14,-3.19,97.75,2.28
11.89,14.42,113.71,2.39
11.06,-2.49,65.58,2.51
12.29,10.75,93.80,2.62
12.37,4.09,37.58,2.74
11.99,8.55,135.16,2.85
9.97,3.14,68.87,2.96
13.07,2.39,101.75,3.08
12.51,10.32,4.38,3.19
10.26,-0.78,63.03,3.31
10.73,14.15,47.61,3.42
9.59,-1.06,105.80,3.53
11.93,16.81,126.79,3.65
9.83,-4.44,53.27,3.76
10.17,13.92,93.17,3.88
9.33,2.01,42.38,3.99
9.55,5.29,67.44,4.10
10.53,5.74,36.02,4.22
9.68,3.30,94.91,4.33
11.01,11.44,3.95,4.45
9.04,-1.99,129.11,4.56
10.51,16.01,91.89,4.67
9.25,-2.20,102.45,4.79
10.13,14.81,100.28,4.90
9.71,-1.74,54.13,5.02
11.41,14.00,76.15,5.13
9.40,2.48,65.76,5.24
9.45,10.51,151.18,5.36
9.92,2.80,61.83,5.47
9.74,0.75,131.42,5.59
10.67,10.16,25.54,5.70
8.93,-0.17,126.18,5.81
10.09,15.20,69.64,5.93
9.35,-2.03,101.34,6.04
9.93,15.49,118.39,6.15
9.53,-3.09,52.83,6.27
11.31,13.28,85.17,6.38
8.33,3.90,45.68,6.49
10.72,12.97,152.84,6.61
10.63,4.04,70.59,6.72
8.98,1.50,148.46,6.84
11.01,11.95,37.08,6.95
9.25,1.46,129.13,7.06
10.49,15.93,75.95,7.18
9.47,-3.47,112.73,7.29
9.97,16.28,119.97,7.41
10.30,-3.37,43.00,7.52
10.70,11.84,60.48,7.63
8.94,3.07,45.99,7.75
10.54,14.36,138.45,7.86
10.03,2.02,46.32,7.98
9.06,-0.59,167.56,8.09
10.43,10.52,45.47,8.20
