Roll (x), Pitch (Y), Yaw (Z), Time (s)
11.35,6.04,89.99,0.00
11.39,5.91,89.83,0.11
11.46,6.05,87.14,0.23
11.50,5.96,87.97,0.34
11.14,5.94,88.40,0.46
11.36,5.91,87.34,0.57
11.54,6.16,86.06,0.68
11.34,5.89,87.30,0.80
11.32,6.20,87.78,0.91
11.38,6.08,88.05,1.03
11.53,5.98,88.44,1.14
11.27,6.09,89.27,1.25
11.31,5.96,89.13,1.37
11.38,5.88,88.82,1.48
11.59,6.28,88.88,1.60
11.09,5.96,87.88,1.71
11.41,5.68,88.34,1.82
11.43,6.30,88.37,1.94
11.38,5.97,88.39,2.05
11.32,6.15,88.40,2.17
11.39,6.10,88.86,2.28
11.40,5.85,89.12,2.39
11.29,6.13,88.82,2.51
11.44,6.15,88.87,2.62
11.33,5.88,88.68,2.74
11.32,6.15,88.56,2.85
11.32,5.91,89.71,2.96
11.53,5.74,89.61,3.08
11.55,6.34,89.32,3.19
11.31,5.49,89.16,3.31
11.23,5.86,88.00,3.42
11.62,6.93,88.40,3.53
11.35,5.74,89.71,3.65
11.14,5.86,89.15,3.76
9.25,-10.23,56.12,3.88
12.44,22.09,172.62,3.99
11.43,1.50,-66.59,4.10
14.02,19.36,144.28,4.22
10.69,2.10,54.37,4.33
10.81,3.08,159.28,4.45
12.37,8.35,-73.14,4.56
10.22,-2.38,178.77,4.67
14.39,22.92,34.82,4.79
11.67,-11.96,171.45,4.90
13.13,24.42,124.58,5.02
10.12,-12.99,125.27,5.13
13.48,22.70,163.79,5.24
11.74,-4.42,-67.99,5.36
13.48,15.22,141.27,5.47
10.47,2.84,50.16,5.59
10.28,1.44,212.90,5.70
12.47,3.15,-45.76,5.81
10.30,-1.22,178.23,5.93
14.21,24.55,13.69,6.04
11.31,-10.35,143.99,6.16
13.73,24.71,98.36,6.27
10.64,-10.17,57.51,6.38
12.89,22.53,113.70,6.50
11.22,-10.67,-143.39,6.61
14.07,19.53,72.90,6.73
10.40,2.17,14.55,6.84
11.03,3.44,157.14,6.95
13.14,8.24,-44.27,7.07
10.05,-1.62,173.20,7.18
14.16,23.08,-29.94,7.30
10.76,-9.05,135.01,7.41
13.78,24.56,106.92,7.52
9.98,-13.04,122.17,7.64
13.36,22.70,161.92,7.75
12.33,-5.15,-91.32,7.86
13.20,19.78,119.80,7.98
10.41,2.90,27.40,8.09
12.38,7.63,196.45,8.21
12.48,3.08,-51.21,8.32
10.22,-1.16,164.23,8.44
13.82,19.21,-5.81,8.55
11.71,-10.44,188.35,8.66
13.50,24.47,132.75,8.78
11.01,-9.40,144.45,8.89
13.25,22.50,166.09,9.01
11.08,-10.48,-77.55,9.12
14.75,19.88,102.89,9.23
11.38,5.62,32.84,9.35
11.00,3.99,152.44,9.46
12.53,2.59,-56.44,9.57
10.29,0.85,133.69,9.69
14.27,23.81,-51.11,9.80
10.87,-8.61,129.91,9.92
14.10,25.08,61.63,10.03
11.62,-9.83,108.14,10.15
13.83,23.90,118.05,10.26
10.29,-11.52,-87.38,10.37
12.75,18.41,97.21,10.49
10.89,3.92,3.48,10.60
12.67,6.70,146.15,10.72
12.77,3.60,-6.12,10.83
10.44,0.39,190.93,10.94
13.54,18.91,-46.70,11.06
10.55,-4.43,168.65,11.17
14.38,24.73,53.15,11.28
10.83,-9.70,112.23,11.40
14.00,25.15,152.85,11.51
11.87,-10.78,-55.89,11.63
13.41,19.93,111.71,11.74
11.19,7.33,-29.90,11.85
14.27,7.96,105.45,11.97
12.24,1.81,18.67,12.08
10.49,-0.47,182.20,12.20
13.25,14.91,-31.91,12.31
10.91,-9.53,197.25,12.43
14.27,25.03,103.43,12.54
11.44,-10.40,186.39,12.65
14.32,24.76,171.12,12.77
10.37,-11.30,68.15,12.88
13.76,19.52,187.17,12.99
