Roll (x), Pitch (Y), Yaw (Z), Time (s)
12.13,5.00,55.26,13.11
12.76,6.98,176.51,13.22
11.67,1.64,19.58,13.34
10.15,-0.28,157.13,13.45
13.34,10.62,-66.51,13.56
10.70,-4.82,169.94,13.68
14.02,24.87,66.82,13.79
12.34,-10.02,105.27,13.91
14.47,25.22,112.16,14.02
10.27,-12.15,-63.81,14.14
13.35,21.45,88.41,14.25
12.69,-0.82,-41.89,14.36
14.75,8.01,86.05,14.48
12.56,1.64,14.30,14.59
9.97,0.83,154.11,14.70
13.50,15.94,-81.16,14.82
10.68,-2.31,159.70,14.93
14.53,24.65,30.99,15.05
12.33,-10.48,137.01,15.16
14.39,24.83,135.41,15.27
10.28,-11.47,34.20,15.39
12.79,20.45,162.29,15.50
12.19,5.71,-33.40,15.62
15.26,14.14,136.77,15.73
11.62,1.56,57.88,15.85
10.30,2.26,168.63,15.96
13.27,10.30,-53.18,16.07
10.65,-6.36,182.09,16.19
14.60,23.79,73.01,16.30
12.35,-10.36,154.82,16.42
14.52,25.36,133.75,16.53
10.25,-12.55,81.31,16.64
13.69,22.30,169.77,16.76
12.67,-1.31,9.25,16.87
14.71,9.16,159.36,16.99
11.23,1.95,53.77,17.10
9.99,0.54,147.36,17.21
13.32,6.60,-82.20,17.33
10.77,-2.84,161.38,17.44
14.64,24.67,28.98,17.56
12.08,-10.39,121.65,17.67
14.64,25.41,95.72,17.78
10.46,-10.69,12.17,17.90
12.74,20.87,111.79,18.01
12.72,-3.96,-57.88,18.12
15.66,15.49,134.99,18.24
11.50,1.60,67.89,18.35
10.29,2.31,174.58,18.47
13.22,9.91,-26.78,18.58
10.82,-0.38,191.85,18.69
14.68,24.74,9.32,18.81
11.60,-10.55,132.98,18.92
14.73,25.72,84.28,19.04
10.22,-12.57,61.95,19.15
13.04,21.29,160.26,19.26
12.72,-1.03,-66.90,19.38
14.84,17.59,117.13,19.49
11.87,2.26,44.81,19.61
11.37,2.31,153.71,19.72
13.05,7.14,-39.61,19.83
10.97,-2.68,177.88,19.95
14.28,22.01,29.45,20.06
12.27,-11.23,178.03,20.18
13.95,23.80,125.33,20.29
10.41,-11.09,124.14,20.41
13.89,23.46,185.91,20.52
12.68,-5.09,-54.80,20.63
15.19,14.75,140.59,20.75
11.26,4.19,60.00,20.86
9.99,2.34,163.38,20.98
13.11,4.33,-56.34,21.09
10.97,-1.92,137.99,21.20
14.25,20.61,-8.42,21.32
11.59,-10.71,174.56,21.43
14.71,25.62,106.83,21.55
11.07,-10.67,72.09,21.66
13.21,22.50,123.64,21.77
11.27,-10.25,-81.14,21.89
15.08,18.34,121.74,22.00
11.06,4.97,65.15,22.11
11.26,2.65,168.40,22.23
13.19,5.98,-13.88,22.34
10.74,-0.14,190.84,22.46
14.25,22.62,-20.21,22.57
11.24,-6.80,152.47,22.68
14.18,24.40,71.24,22.80
12.11,-9.43,106.41,22.91
13.80,23.35,169.21,23.03
12.60,-5.13,-67.25,23.14
14.05,20.49,138.44,23.25
10.88,4.24,26.89,23.37
12.51,5.48,147.85,23.48
13.13,4.10,-3.57,23.60
10.46,-0.57,168.20,23.71
14.10,19.65,1.50,23.83
11.64,-10.88,180.94,23.94
14.52,24.26,108.03,24.05
10.93,-11.05,155.92,24.17
14.45,24.75,168.86,24.28
11.50,-11.10,7.28,24.40
13.31,20.11,171.39,24.51
11.24,5.42,90.49,24.62
11.30,2.48,191.83,24.74
12.32,2.03,-7.12,24.85
10.85,-0.60,150.05,24.97
13.61,13.08,-46.37,25.08
11.26,-7.57,176.53,25.19
14.43,24.89,82.78,25.31
12.14,-9.50,112.68,25.42
14.01,23.39,125.86,25.53
11.03,-12.05,-81.66,25.65
14.43,21.43,105.54,25.76
11.99,4.35,5.27,25.88
12.84,5.67,152.88,25.99
13.21,3.62,-2.73,26.10
10.33,-0.41,164.32,26.22
14.19,19.58,-58.91,26.33
11.23,-5.12,149.17,26.45
14.60,25.10,41.48,26.56
12.42,-9.49,128.90,26.67
14.57,25.21,109.44,26.79
11.48,-11.32,-34.07,26.90
12.84,19.04,151.96,27.02
11.10,5.47,5.29,27.13
14.63,8.94,143.66,27.25
12.75,1.51,41.98,27.36
9.92,1.12,186.66,27.47
13.85,14.63,-45.73,27.59
11.37,-7.90,172.12,27.70
14.33,24.03,85.23,27.82
12.27,-9.41,143.83,27.93
14.80,25.29,149.50,28.04
10.88,-12.63,43.49,28.16
13.21,21.68,185.36,28.27
12.13,4.35,-32.61,28.39
13.59,6.65,122.42,28.50
11.76,0.91,-18.19,28.61
10.22,-0.93,138.98,28.73
13.47,9.65,-82.34,28.84
11.15,-5.17,154.58,28.95
14.41,23.61,44.89,29.07
12.45,-10.09,165.60,29.18
14.59,25.35,130.51,29.30
10.54,-11.37,-23.66,29.41
13.06,20.13,122.46,29.52
12.45,0.72,-18.43,29.64
14.50,9.40,156.29,29.75
11.30,2.59,51.73,29.87
9.85,0.92,170.26,29.98
14.02,15.63,-70.34,30.09
11.24,-1.75,157.88,30.21
14.74,25.53,17.54,30.32
12.43,-10.54,116.14,30.44
15.00,26.22,88.76,30.55
10.77,-11.41,13.07,30.67
13.24,21.46,162.93,30.78
12.15,4.87,-53.80,30.89
15.31,12.75,122.09,31.01
12.25,0.72,42.41,31.12
10.36,1.37,164.57,31.24
13.46,10.82,-62.69,31.35
11.28,-1.39,169.44,31.46
14.55,23.96,56.67,31.58
12.48,-10.19,169.36,31.69
14.66,24.76,135.44,31.81
10.40,-12.08,98.34,31.92
13.13,21.45,183.57,32.03
12.93,1.59,-66.03,32.15
15.63,19.14,127.16,32.26
11.80,2.85,43.81,32.38
10.17,1.56,155.68,32.49
13.93,7.89,-62.92,32.60
11.25,-2.58,140.61,32.72
14.76,22.70,10.49,32.83
12.33,-10.90,150.70,32.94
15.23,26.05,113.00,33.06
10.84,-11.45,20.92,33.17
13.30,22.08,114.24,33.29
12.41,-5.89,-83.68,33.40
16.11,14.83,123.76,33.51
11.49,3.26,50.56,33.63
10.62,1.40,157.71,33.74
13.28,10.19,-49.61,33.86
11.32,-1.50,178.92,33.97
14.47,23.48,-2.28,34.08
11.76,-9.30,136.97,34.20
14.92,25.22,83.46,34.31
11.61,-7.41,94.90,34.43
14.06,23.79,138.41,34.54
12.84,-0.61,-73.22,34.65
14.91,22.04,142.47,34.77
10.99,2.69,52.30,34.88
12.43,5.92,175.56,35.00
15.50,5.13,-6.56,35.11
10.84,-1.25,163.85,35.22
11.54,9.69,6.01,35.34
11.03,-3.44,217.20,35.45
15.10,27.65,137.48,35.57
12.57,-10.24,125.10,35.68
13.89,22.20,155.74,35.79
11.00,-12.52,52.71,35.91
15.85,26.82,191.49,36.02
12.22,5.91,30.44,36.14
12.62,2.85,157.60,36.25
11.88,1.04,-68.71,36.37
12.97,0.81,31.07,36.48
14.43,19.94,-46.24,36.59
12.43,-3.08,91.68,36.71
15.72,21.66,-29.45,36.82
12.45,-13.11,174.09,36.94
13.76,22.58,129.18,37.05
10.40,-7.78,15.34,37.16
16.03,25.21,171.44,37.28
11.80,-8.75,-6.03,37.39
12.64,4.13,162.28,37.51
11.34,1.39,8.98,37.62
9.74,-3.35,131.29,37.73
16.58,29.48,-78.33,37.85
10.95,0.19,130.67,37.96
14.63,19.63,11.18,38.08
12.37,-6.12,200.67,38.19
14.42,24.45,102.54,38.30
10.91,-10.50,-6.70,38.42
13.92,23.56,61.19,38.53
13.47,-4.43,-128.46,38.65
16.91,22.11,70.50,38.76
11.40,4.18,-9.24,38.87
15.85,1.72,14.15,38.99
13.54,3.23,-96.84,39.10
10.60,-0.68,105.18,39.22
14.53,20.06,-43.77,39.33
12.08,-10.20,152.87,39.44
14.71,24.41,93.98,39.56
11.27,-10.90,147.17,39.67
14.63,24.49,166.17,39.78
11.78,-10.86,-8.57,39.90
13.14,19.27,168.47,40.01
11.85,5.09,69.00,40.13
11.61,2.14,183.65,40.24
13.00,1.82,-34.23,40.35
11.01,-0.98,140.06,40.47
14.23,15.32,-50.47,40.58
11.76,-7.74,165.86,40.70
14.62,24.63,80.75,40.81
12.47,-9.07,114.19,40.92
14.02,23.74,123.76,41.04
11.28,-12.24,-82.70,41.15
14.87,21.08,118.90,41.27
12.32,4.58,16.52,41.38
13.55,5.90,130.27,41.49
13.16,3.91,-10.18,41.61
10.46,-0.84,158.06,41.72
14.33,19.44,-68.29,41.84
11.25,-5.16,132.81,41.95
14.85,25.16,36.48,42.06
12.74,-9.57,124.88,42.18
14.71,24.80,148.94,42.29
11.68,-11.21,-1.35,42.41
13.32,19.38,177.97,42.52
11.24,5.20,18.48,42.63
14.51,9.36,160.22,42.75
12.59,1.74,57.55,42.86
10.09,0.89,190.76,42.98
14.04,13.86,-28.17,43.09
11.63,-7.75,180.99,43.20
14.55,23.82,98.30,43.32
12.50,-9.30,152.73,43.43
15.07,25.45,152.86,43.55
11.32,-12.62,36.20,43.66
14.55,20.92,173.60,43.77
12.98,5.76,57.26,43.89
13.53,6.96,180.19,44.00
12.34,1.34,23.55,44.12
10.41,-0.98,140.52,44.23
13.74,11.47,-74.65,44.34
11.20,-5.55,154.28,44.46
14.84,24.97,52.54,44.57
12.70,-9.55,127.75,44.69
14.68,25.10,114.01,44.80
11.02,-10.96,-20.45,44.91
13.47,20.11,119.84,45.03
13.01,0.86,-22.01,45.14
14.30,9.06,167.46,45.26
12.69,1.64,48.28,45.37
10.13,0.98,190.24,45.48
14.32,15.27,-55.56,45.60
11.33,-2.39,163.79,45.71
14.89,25.43,15.71,45.83
12.74,-10.67,108.93,45.94
15.10,25.73,86.47,46.05
11.09,-13.11,9.10,46.17
13.66,22.23,161.11,46.28
12.54,4.51,-48.02,46.40
16.20,13.63,112.53,46.51
11.99,0.36,33.56,46.62
10.66,1.07,168.22,46.74
13.56,10.31,-63.73,46.85
11.38,-5.37,165.28,46.97
14.54,24.15,57.16,47.08
12.91,-10.07,177.87,47.19
15.06,24.91,141.93,47.31
10.61,-11.93,103.92,47.42
13.58,21.80,199.11,47.54
13.01,0.40,-56.94,47.65
14.79,10.05,147.66,47.76
11.50,2.30,41.44,47.88
9.94,1.00,168.04,47.99
14.29,6.55,-68.98,48.11
11.06,-2.88,133.00,48.22
15.03,22.10,10.30,48.33
12.78,-11.04,143.41,48.45
15.35,25.91,108.36,48.56
11.19,-11.13,29.57,48.68
13.72,22.39,119.63,48.79
13.26,-5.31,-72.10,48.90
16.18,14.90,133.28,49.02
11.77,2.94,54.38,49.13
10.81,1.44,164.97,49.25
13.73,10.95,-69.29,49.36
11.44,-1.39,160.61,49.47
14.85,24.96,-8.91,49.59
12.14,-9.39,125.64,49.70
14.94,25.01,74.64,49.82
11.52,-9.71,67.24,49.93
13.43,21.44,180.13,50.04
13.02,0.23,-67.67,50.16
15.14,18.16,150.62,50.27
11.38,2.42,62.76,50.39
11.42,3.03,172.46,50.50
14.02,6.88,-27.37,50.61
10.82,-1.55,167.64,50.73
15.28,22.37,21.04,50.84
12.61,-10.87,161.45,50.96
15.01,25.09,118.18,51.07
10.85,-11.70,143.99,51.18
14.40,23.84,186.18,51.30
12.98,-6.71,-33.60,51.41
16.65,15.06,155.41,51.53
11.33,3.17,62.53,51.64
10.64,0.94,177.12,51.75
13.17,2.40,-49.18,51.87
11.35,-1.79,147.48,51.98
14.07,18.75,-21.08,52.10
12.24,-9.38,155.97,52.21
15.01,25.33,95.27,52.32
11.84,-9.14,85.13,52.44
13.53,22.23,130.00,52.55
12.57,-10.65,-96.96,52.67
15.02,17.90,118.69,52.78
11.91,6.07,44.79,52.89
11.32,3.18,162.73,53.01
13.76,7.09,-36.33,53.12
10.98,-1.33,160.59,53.24
15.28,23.43,-45.17,53.35
11.64,-7.40,121.56,53.46
15.07,25.38,54.60,53.58
12.29,-9.39,109.58,53.69
14.38,24.57,120.92,53.81
12.89,-7.03,-73.52,53.92
14.42,19.55,128.75,54.03
11.16,3.29,21.23,54.15
13.41,5.73,160.75,54.26
13.12,2.42,15.29,54.38
10.45,-0.48,184.17,54.49
14.66,19.00,-54.02,54.60
12.36,-9.33,147.48,54.72
14.60,24.38,89.14,54.83
11.80,-9.67,136.86,54.95
15.06,24.97,167.11,55.06
12.27,-11.45,-15.53,55.17
14.08,21.62,166.40,55.29
11.50,5.53,1.89,55.40
11.73,3.93,132.39,55.52
12.99,3.86,-25.99,55.63
10.76,-1.65,129.76,55.74
14.38,15.83,-54.01,55.86
11.66,-8.14,161.95,55.97
15.14,24.47,78.39,56.09
12.37,-9.82,158.34,56.20
14.27,23.85,146.65,56.31
11.20,-11.54,-67.99,56.43
14.30,20.18,115.37,56.54
12.25,4.78,11.41,56.66
13.53,5.31,167.73,56.77
